Plot ID,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Crown_cover....,Forest_Types,Scientific_me,Family,Height_cm,Age_Years,Plot_Cover.
1,1337,27.001902,90.597047,25,18.21,2462.64,909.38,2280.35,90,40,Cool broadleaved forest (1500-3000),Alangium chinense,Alangiaceae,1.8,2,25
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,1.8,2,25
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Ficus hispida,Moraceae,2.5,3,2
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,2,3,2
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,2,3,2
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,2.5,4,70
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,70,2,4
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,3,2,20
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,380,4,40
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,3.2,4,40
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,1.8,3,40
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Aphamaxis polystacya,Meliaceae,1.2,2,20
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Aphamaxis polystacya,Meliaceae,1.2,2,20
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Ficus semicordata,Moraceae,0.8,2,7
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Ficus semicordata,Moraceae,0.8,2,7
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Schefflera spp,Araliaceae,60,2,3
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Schefflera spp,Araliaceae,60,2,3
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,7,1,1
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Dillenia indica,Dilleniaceae,15,1,2
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,21,Cool broadleaved forest (1500-3000),Schefflera spp,Araliaceae,1.3,3,25
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,22,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,60,3,7
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,60,3,7
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,40,2,4
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Osmanthus suavis,Oleaceae,45,2,3
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Osmanthus suavis,Oleaceae,45,2,3
18,1696,27.085629,90.378053,15,16.41,2145.84,882.18,2302.69,135,60,Cool broadleaved forest (1500-3000),Osmanthus suavis,Oleaceae,45,2,3
18,1696,27.085629,90.378053,15,16.41,2145.84,882.18,2302.69,135,61,Cool broadleaved forest (1500-3000),Ficus roxburgii,Moraceae,0.9,3,15
22,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,45,30,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,100,2,26
23,1196,27.052481,90.328958,30,19.08,2081.61,937.68,2091.15,0,85,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,4.5,3,60
25,1227,27.050532,90.317169,18,18.91,2321.9,933.39,2371.74,0,5,Warm broad leaved forest (500-1500),Osmanthus suavis,Oleaceae,3.5,5,30
26,1227,27.050532,90.317169,18,18.91,2321.9,933.39,2371.74,0,6,Warm broad leaved forest (500-1500),Mitrephora harai,Annoceae,130,2,15
27,1266,27.039551,90.305893,1,18.67,2743.1,926.2,2793.77,0,90,Warm broad leaved forest (500-1500),Bridelia retusa,Euphorbiaceae,35,1,20
28,1223,27.058107,90.311665,1,18.95,2609.57,935.49,2733.62,90,65,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,45,1,7
29,1318,27.057149,90.302347,17,18.42,2301.2,923.41,2376.61,45,72,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,45,1,7
30,1394,27.066416,90.300928,11,18.03,2357.47,915.87,2482.13,315,85,Warm broad leaved forest (500-1500),Brassaiopsis hainla,Araliaceae,1,2,7
30,1394,27.066416,90.300928,11,18.03,2357.47,915.87,2482.13,315,85,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,90,4,30
31,1084,27.047991,90.379133,18,19.69,2324.53,950.73,2362.74,0,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,1.8,3,30
32,1089,27.048535,90.371103,17,19.66,2342.08,950.22,2386.01,315,60,Warm broad leaved forest (500-1500),Litsea monopetala,Lauraceae,10,1,2
32,1089,27.048535,90.371103,17,19.66,2342.08,950.22,2386.01,315,60,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,1.5,2,20
33,1129,27.05076,90.36301,14,19.45,2387.44,945.69,2448.67,45,75,Warm broad leaved forest (500-1500),Mangifera sylvatica,Acardiaceae,40,2,2
33,1129,27.05076,90.36301,14,19.45,2387.44,945.69,2448.67,45,75,Warm broad leaved forest (500-1500),Mesua ferrea,Calophyllaceae,2,2,1
34,1133,27.046918,90.357621,4,19.42,2615.16,944.38,2688.49,315,30,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,2.5,4,56
35,1137,27.048838,90.349776,15,19.4,2383.87,944.28,2436.14,45,70,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,2,3,2
35,1137,27.048838,90.349776,15,19.4,2383.87,944.28,2436.14,45,70,Warm broad leaved forest (500-1500),Magnolia hogdsonii,Magnoliaceae,1,2,2
36,1116,27.049777,90.341168,3,19.52,2619.48,947.11,2707.3,45,65,Warm broad leaved forest (500-1500),Myrsine seguinii,Myrsiceae,0,2,15
37,1149,27.052219,90.345597,25,19.34,2171.84,943.5,2200.52,180,40,Warm broad leaved forest (500-1500),Actinodaphne obovata,Lauraceae,2.5,3,20
38,1138,27.053609,90.353978,3,19.4,2589.61,945.17,2690.87,180,25,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,6,1,1
39,1170,27.055799,90.359268,7,19.23,2492.68,941.63,2591.44,135,60,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,6,1,1
40,1598,27.067908,90.385628,10,16.91,2347.73,890.69,2471.04,45,50,Cool broadleaved forest (1500-3000),Ostodes paniculata,Euphorbiaceae,0.9,1,3
40,1598,27.067908,90.385628,10,16.91,2347.73,890.69,2471.04,45,50,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,2,2,15
41,1477,27.063062,90.387096,25,17.56,2095.06,904.79,2148.69,315,50,Warm broad leaved forest (500-1500),Macaranga indica,Euphorbiaceae,1.6,4,70
42,1474,27.058455,90.387378,12,17.57,2369.77,904.19,2457.08,135,60,Warm broad leaved forest (500-1500),Dillenia indica,Dilleniaceae,1.7,3,12
42,1474,27.058455,90.387378,12,17.57,2369.77,904.19,2457.08,135,60,Warm broad leaved forest (500-1500),Trewia nudiflora,Euphorbiaceae,1.7,3,25
43,1288,27.059817,90.384143,15,18.59,2303.64,927.73,2388.55,270,95,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,1.6,3,40
43,1288,27.059817,90.384143,15,18.59,2303.64,927.73,2388.55,270,95,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,1,2,5
44,1153,27.056613,90.382922,6,19.33,2501.53,943.93,2604.4,135,50,Warm broad leaved forest (500-1500),Acer sterculiaceum,Aceraceae,150,3,30
45,1861,27.051892,90.382273,5,15.44,2554.1,854.43,2632.29,180,10,Warm broad leaved forest (500-1500),Acer sterculiaceum,Aceraceae,150,3,30
46,1179,27.047425,90.383377,16,19.17,2366.07,938.74,2407.1,270,60,Warm broad leaved forest (500-1500),Mangifera sylvatica,Acardiaceae,2.3,3,20
47,1032,27.053226,90.39404,1,19.98,2623.38,958.34,2726.44,0,40,Warm broad leaved forest (500-1500),Brassaiopsis hainla,Araliaceae,1.1,3,20
47,1032,27.053226,90.39404,1,19.98,2623.38,958.34,2726.44,0,40,Warm broad leaved forest (500-1500),Polyalthia simiarum,Annoceae,1.6,4,40
48,1087,27.058336,90.395895,17,19.69,2272.24,952.54,2347.25,90,70,Warm broad leaved forest (500-1500),Syzygium formosum,Myrtaceae,11,1,1
48,1087,27.058336,90.395895,17,19.69,2272.24,952.54,2347.25,90,70,Warm broad leaved forest (500-1500),Phoebe attenuata,Lauraceae,25,1,2
48,1087,27.058336,90.395895,17,19.69,2272.24,952.54,2347.25,90,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,35,1,3
48,1087,27.058336,90.395895,17,19.69,2272.24,952.54,2347.25,90,70,Warm broad leaved forest (500-1500),Litsea cubeba,Lauraceae,14,1,1
48,1087,27.058336,90.395895,17,19.69,2272.24,952.54,2347.25,90,70,Warm broad leaved forest (500-1500),Michelia doltsapa,Magnoliaceae,25,1,2
49,1668,27.040259,90.429503,29,16.47,2155.82,876.1,2115.02,315,70,Cool broadleaved forest (1500-3000),Lithocarpus elegans,Fagaceae,1.2,2,10
50,1612,27.044624,90.430054,30,16.79,2109.12,884.02,2079.16,45,70,Cool broadleaved forest (1500-3000),Ostodes paniculata,Euphorbiaceae,1300,3,12
50,1612,27.044624,90.430054,30,16.79,2109.12,884.02,2079.16,45,70,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,25,1,4
51,1617,27.048872,90.428521,18,16.77,2307.38,884.29,2337.26,0,60,Cool broadleaved forest (1500-3000),Acer thomsonii,Aceraceae,1.3,3,15
52,1581,27.052919,90.426635,34,16.97,1985.8,889.65,1963.89,45,45,Cool broadleaved forest (1500-3000),Acer thomsonii,Aceraceae,1.3,3,15
53,1613,27.051074,90.421695,25,16.79,2162.27,885.26,2174.22,315,35,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,150,3,8
54,1480,27.057747,90.429095,15,17.54,2306.76,903.29,2378.6,135,30,Warm broad leaved forest (500-1500),Rhododendron arboreum,Ericaceae,25,2,15
54,1480,27.057747,90.429095,15,17.54,2306.76,903.29,2378.6,135,30,Warm broad leaved forest (500-1500),Betula alnoides,Betulaceae,0.45,2,4
54,1480,27.057747,90.429095,15,17.54,2306.76,903.29,2378.6,135,30,Warm broad leaved forest (500-1500),Lyonia ovalifolia,Ericaceae,60,2,12
55,1323,27.061245,90.432257,22,18.4,2151.65,923.65,2210.51,45,50,Warm broad leaved forest (500-1500),Lyonia ovalifolia,Ericaceae,60,2,12
56,1228,27.057348,90.435861,23,18.92,2156.64,934.71,2200.51,45,75,Warm broad leaved forest (500-1500),Cretava reliogiosa,Compositae,180,4,25
57,1203,27.065166,90.432574,15,19.07,2258.47,939.48,2357.83,45,45,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,250,4,2
58,1533,27.050233,90.482811,23,17.23,2191.4,895.08,2204.39,90,60,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,1.2,3,20
59,1570,27.052323,90.479054,43,17.03,1821.43,890.9,1746.39,135,90,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,1.3,6,18
59,1570,27.052323,90.479054,43,17.03,1821.43,890.9,1746.39,135,90,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,40,1,6
60,1612,27.049179,90.475091,35,16.8,1980.53,884.98,1937.81,90,90,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,1.2,2,20
61,1697,27.044018,90.470336,7,16.32,2547.36,873.27,2587.29,225,50,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,1.4,3,70
62,1589,27.047788,90.470727,31,16.92,2062.01,887.56,2034.3,315,10,Cool broadleaved forest (1500-3000),Saurauja nepaulensis,Actinidiaceae,1.6,3,20
63,1538,27.053023,90.472307,7,17.21,2484.68,895.04,2560.29,270,40,Cool broadleaved forest (1500-3000),Saurauja nepaulensis,Actinidiaceae,1.6,3,20
64,1482,27.05384,90.465645,31,17.52,2025.6,902.22,2018.13,180,60,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,1.5,3,25
65,1461,27.057109,90.466517,20,17.64,2207.38,905.53,2256.37,0,30,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,1.5,3,25
66,1380,27.055521,90.462233,34,18.08,1962.54,915.32,1947.47,270,40,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,0.9,2,15
66,1392,27.037402,90.420951,35,17.98,2065.88,910,1995,315,75,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,0.9,2,15
67,1220,27.03528,90.381268,8,18.92,2610.82,931.05,2626.57,0,60,Warm broad leaved forest (500-1500),Chukrasia tabularis,Meliaceae,35,1,2
67,1220,27.03528,90.381268,8,18.92,2610.82,931.05,2626.57,0,60,Warm broad leaved forest (500-1500),Michelia doltsapa,Magnoliaceae,1.3,3,60
68,1220,27.036181,90.387166,12,18.92,2521.89,931.24,2531.49,45,50,Warm broad leaved forest (500-1500),Choerospondias axiliaris,Acardiaceae,2.4,4,60
68,1220,27.036181,90.387166,12,18.92,2521.89,931.24,2531.49,45,50,Warm broad leaved forest (500-1500),Trewia nudiflora,Euphorbiaceae,1.2,2,10
69,1237,27.034244,90.392907,3,18.82,2718.78,928.7,2739.04,0,30,Warm broad leaved forest (500-1500),Betula alnoides,Betulaceae,4.5,4,70
69,1237,27.034244,90.392907,3,18.82,2718.78,928.7,2739.04,0,30,Warm broad leaved forest (500-1500),Ficus nervosa,Moraceae,3.5,4,30
70,1257,27.032674,90.398707,4,18.71,2708.12,925.87,2719.36,0,20,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,1.3,2,20
71,1345,27.030486,90.394509,15,18.22,2500.56,914.41,2477.78,45,30,Warm broad leaved forest (500-1500),Brassaiopsis hainla,Araliaceae,70,2,7
71,1345,27.030486,90.394509,15,18.22,2500.56,914.41,2477.78,45,30,Warm broad leaved forest (500-1500),Ficus roxburgii,Moraceae,50,2,6
72,1401,27.028993,90.388953,6,17.91,2696.28,907.1,2686.85,0,35,Warm broad leaved forest (500-1500),Acer campbelli,Sapindaceae,350,4,30
73,1505,27.02561,90.384529,11,17.33,2619.34,893.38,2584.51,45,40,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,95,2,15
74,1529,27.025295,90.389805,7,17.2,2702.93,890.31,2673.95,0,30,Cool broadleaved forest (1500-3000),Tetradium fraxinifolium,Rutaceae,220,3,5
75,1534,27.024978,90.394243,15,17.17,2540.37,889.62,2492.72,0,90,Cool broadleaved forest (1500-3000),Symplocus glomerata,Symplocaceae,1.3,3,8
75,1534,27.024978,90.394243,15,17.17,2540.37,889.62,2492.72,0,90,Cool broadleaved forest (1500-3000),Schima wallichii,Theaceae,1.3,5,5
76,1615,27.03769,90.428029,3,16.76,2684.77,882.18,2711.98,225,60,Cool broadleaved forest (1500-3000),Lithocarpus elegans,Fagaceae,0.7,3,10
77,1587,27.034607,90.425941,24,16.9,2288.43,885.03,2248.21,0,60,Cool broadleaved forest (1500-3000),Acer thomsonii,Aceraceae,0.65,2,7
77,1587,27.034607,90.425941,24,16.9,2288.43,885.03,2248.21,0,60,Cool broadleaved forest (1500-3000),Trevesia palmata,Araliaceae,1.2,3,12
77,1587,27.034607,90.425941,24,16.9,2288.43,885.03,2248.21,0,60,Cool broadleaved forest (1500-3000),Trevesia palmata,Araliaceae,0.8,2,7
78,1458,27.032986,90.423497,16,17.61,2456.04,900.81,2436.72,225,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,1.6,5,40
79,1520,27.030838,90.423961,36,17.26,2089.44,892.61,1990.54,270,85,Cool broadleaved forest (1500-3000),Trevesia palmata,Araliaceae,45,2,1
80,1406,27.034398,90.420663,43,17.89,1941.72,907.61,1823.63,225,45,Warm broad leaved forest (500-1500),Trevesia palmata,Araliaceae,0.9,2,8
80,1406,27.034398,90.420663,43,17.89,1941.72,907.61,1823.63,225,46,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,15,1,2
82,1318,27.017551,90.507153,18,18.34,2507.4,915.06,2416.77,225,45,Cool broadleaved forest (1500-3000),Quercus glauca,Fagaceae,30,5,2
82,1318,27.017551,90.507153,18,18.34,2507.4,915.06,2416.77,225,45,Cool broadleaved forest (1500-3000),Trewia nudiflora,Euphorbiaceae,30,5,5
82,1318,27.017551,90.507153,18,18.34,2507.4,915.06,2416.77,225,45,Cool broadleaved forest (1500-3000),Cinmomum virum,Lauraceae,20,4,2
82,1318,27.017551,90.507153,18,18.34,2507.4,915.06,2416.77,225,45,Cool broadleaved forest (1500-3000),Cinmomum virum,Lauraceae,50,5,0
83,1327,27.014709,90.510344,31,18.29,2272.93,913.33,2130.89,225,45,Cool broadleaved forest (1500-3000),Symplocus sumuntia,Symplocaceae,7,4,2
83,1327,27.014709,90.510344,31,18.29,2272.93,913.33,2130.89,225,45,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,10,5,2
83,1327,27.014709,90.510344,31,18.29,2272.93,913.33,2130.89,225,45,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,5,4,3
84,1314,27.008339,90.514026,35,18.35,2240.99,913.61,2059.78,225,60,Warm broad leaved forest (500-1500),Castanopsis tribuloides,Fagaceae,30,6,5
84,1314,27.008339,90.514026,35,18.35,2240.99,913.61,2059.78,225,60,Warm broad leaved forest (500-1500),Castanopsis hystrix,Fagaceae,40,5,50
84,1314,27.008339,90.514026,35,18.35,2240.99,913.61,2059.78,225,60,Warm broad leaved forest (500-1500),Gynocardia ordorata,Flacourtiaceae,40,5,35
84,1314,27.008339,90.514026,35,18.35,2240.99,913.61,2059.78,225,60,Warm broad leaved forest (500-1500),Acrocarpus fraxinifolius,Leguminosae,40,5,35
85,1367,27.002217,90.518822,20,18.04,2579.36,905.69,2416.02,270,40,Warm broad leaved forest (500-1500),Acrocarpus fraxinifolius,Leguminosae,40,5,35
86,1284,27.003753,90.524924,10,18.5,2772.76,916.39,2636.42,45,45,Warm broad leaved forest (500-1500),Syzygium operculatum,Myrtaceae,25,6,2
86,1284,27.003753,90.524924,10,18.5,2772.76,916.39,2636.42,45,45,Warm broad leaved forest (500-1500),Castanopsis indica,Fagaceae,12,4,2
86,1284,27.003753,90.524924,10,18.5,2772.76,916.39,2636.42,45,45,Warm broad leaved forest (500-1500),Populus glauca,Salicaceae,5,5,5
87,1168,27.00755,90.520556,33,19.14,2283.17,931.69,2107.52,45,50,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,30,5,25
87,1168,27.00755,90.520556,33,19.14,2283.17,931.69,2107.52,45,50,Warm broad leaved forest (500-1500),Castanopsis indica,Fagaceae,50,5,45
88,1083,27.005524,90.528304,15,19.61,2653.88,941.89,2519.57,90,50,Warm broad leaved forest (500-1500),Castanopsis indica,Fagaceae,50,5,45
89,926,27.011474,90.528688,18,20.48,2547.31,962.77,2434.94,135,60,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,30,5,2
89,926,27.011474,90.528688,18,20.48,2547.31,962.77,2434.94,135,60,Warm broad leaved forest (500-1500),Populus glauca,Salicaceae,20,5,5
89,926,27.011474,90.528688,18,20.48,2547.31,962.77,2434.94,135,60,Warm broad leaved forest (500-1500),Castanopsis indica,Fagaceae,40,7,5
90,734,27.014614,90.532258,32,21.54,2249.62,987.44,2110.15,315,40,Warm broad leaved forest (500-1500),Castanopsis tribuloides,Fagaceae,25,7,3
90,734,27.014614,90.532258,32,21.54,2249.62,987.44,2110.15,315,40,Warm broad leaved forest (500-1500),Michelia doltsapa,Magnoliaceae,50,24,45
91,723,27.019702,90.541347,42,21.61,2028.16,989.88,1865.33,270,45,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,15,9,2
91,723,27.019702,90.541347,42,21.61,2028.16,989.88,1865.33,270,45,Warm broad leaved forest (500-1500),Michelia doltsapa,Magnoliaceae,30,8,3
91,723,27.019702,90.541347,42,21.61,2028.16,989.88,1865.33,270,45,Warm broad leaved forest (500-1500),Hovenia dulcis,Rhamceae,10,5,4
91,723,27.019702,90.541347,42,21.61,2028.16,989.88,1865.33,270,45,Warm broad leaved forest (500-1500),Osmanthus suavis,Oleaceae,70,12,2
91,723,27.019702,90.541347,42,21.61,2028.16,989.88,1865.33,270,45,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,65,7,3
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Ailanthus integrifolia,Simaroubaceae,20,5,5
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,15,4,2
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Engelhardia spicata,Juglandaceae,25,4,2
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Mangifera sylvatica,Acardiaceae,20,4,2
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Tetradium fraxinifolium,Rutaceae,20,3,2
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Castanopsis indica,Fagaceae,80,7,10
92,761,27.019997,90.545508,29,21.4,2266.11,985.2,2156.38,315,70,Warm broad leaved forest (500-1500),Litsea monopetala,Lauraceae,15,4,4
93,750,27.020317,90.549593,32,21.46,2206.24,986.64,2086.46,0,50,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,20,3,7
93,750,27.020317,90.549593,32,21.46,2206.24,986.64,2086.46,0,50,Warm broad leaved forest (500-1500),Duabanga grandiflora,Sonneratiaceae,25,3,5
93,750,27.020317,90.549593,32,21.46,2206.24,986.64,2086.46,0,50,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,20,3,3
